text,label
0, ask native americans take,1
1, go home  drunk ! ! ! MAGA trump ,1
2, amazon investigating chinese employees selling internal data third-party sellers looking edge competitive marketplace amazon MAGA KAG CHINA TCOT,0
3, someone should'vetaken '' piece shit volcano  '',1
4, obama wanted liberals amp illegals move red states,0
5, liberals kookoo ! ! !,1
6, oh noes ! tough shit,1
7, literally talking lol mass shootings like set ups  propaganda used divide us major issues like gun control terrorism,1
8, buy icecream ! ! !,0
9, canada  need another CUCK ! already enough looneyleft liberals f**king great country ! qproofs trudeaumustgo,1
10,  fault support gun control,0
11,  difference kavanaugh one men admitted groping  year old girl years ago going confirmed SCJ demsarefrauds demsaredone walkawaydemocrats redwave voteredsaveamerica trumptrain MAGA,0
12, lying corrupt traitor ! ! ! nobody wants hear anymore lies ! ! ! deepstatecorruption,1
13, scare every american ! playing hockey warped puck !,0
14, I like soda like I like boarders lot ICE,0
15, also king taste,0
16, MAGA  sing like one listening  love like 've never hurt  vote GOP one watching  n't listen liberals ' dirt,0
17, time right house respond concerns canadians four five canadians support stronger gun control good reason.  guncontrol cdnpoli cdnhist '',0
18, besides jax  mom maybe ope hands favorite  like good person show ,0
19, gun control ! kids asking !,1
20, LOL ! ! ! throwing BULLSHIT flag nonsense ! ! putuporshutup kavanaugh MAGA callthevotealready,1
21, correct,0
22, kind like conservatives wan na associate everyone left communist antifa members ?,1
23, da fuck going people ? 's men 's room women 's room pick one stick w ,1
24, willie fan since born ... .LOVE holding rally beto ... exactly WHICH fans furious ? could give specifics ?,0
25, tbh days n't like people general n't connect people days annoyance..,1
26, south korean official  leaders discuss specific denuke measures pyongyang  '' TCOT MAGA rednationrising '',0
27, tell hooper,0
28, I feel like better chasing title,0
29, ? referring ? hillary ? know tiresome ? bernie supporters bashing hillary clinton actual democrat raises money democratic party  bash positive message dividing left ?,1
30, glad see friends supporting metis rights much supporting zionists,0
31, yes I asking movie ? ,0
32, thing democrats lying stalling stop trump president done lately trump kavanaugh MAGA DEMSUCK,1
33, wonder apologetic social day ...,0
34, updates ending blatant racism windrush amp grenfell proves alloutpolitics politicslive pmqs,0
35, know  going happen ? I  going lay bed cry I listen kelly clarkson thanks free speech antifa,0
36, smart ? think gen flynn  sentencing keeps rescheduled ?,1
37, 's expected placate violent leftists/terrorists kavanaughconfirmation woke,1
38, blow hard,0
39, means max lvl twitter user maybe try new game,0
40, please explain controlled opposition '' means bernier escaping split rest conservatives 's even racist exclusionary want '',0
41, socialists politics stand downtrodden well done conflating criticism israel anti semitism also part problem,0
42,  nina one reasons I n't read book long I SO WORRIED character I 've trusted everyone nina goddamn goddess I would die thousand times big bold lovely PERFECT HER ARC IS PERFECT,0
43, PLEASE vote NO kavanaugh fit SCOTUS allegations women shady financials disqualify ruleoflaw matters metoo countryoverparty withdrawkavanaugh stopkavanaugh,0
44, ppl say I 'm racist '' racist A racist repeat '',0
45, kathy patriot YOU HAVE TO LOVE GREAT PRESIDENT TRUMP ! ! ! A SPINE OF U.S STEEL ! ! CHANGING IT ! ON TRADE amp EVERYTHING FOR AMERICANS ! ! AMERICAFIRST USA MAGA LEADERSHIP amp RESPECT ECONOMY JOBS peacethrustrength GOD BLESS TRUMP amp THEUSA   ,0
46, wow liberals really  sense humor.,0
47, I 'M SO FUCKING READY,0
48, holy moly ! ! catholic people n't awakened ... .. falseprophet lunatic,0
49, lol yeah per dina everyday per claudia horse got vet care unless donation example limping etc,0
50, surprise ... antifa BLM soros americas worst enemy HISTORY believes way take USA withing hes right 's gunna happen,0
51, ! wedding best ! pretty !,0
52, conflict heredon  look soros involved violent left agenda antifa also,0
53, announcements every come fruition basically stealing labour 's ideas get votes,0
54,   british people basically full-on racists   voters vote conservatives coincidence ! ? ? ? ! ? ? ?,1
55, GUNCONTROL advocates must STOP falling assure electorate love HORRIFIC A,0
56, hi ! love huge fan camila mendes ! would alright used tweet promotional material ?,0
58, certainly weird view toward margaret sanger geonicidal philosophy aborting minorities I  like know black population suffers shares opinion,0
59, prison system fucked still getting away potentially murder intent prisoners die hurricane ? louisiana like  inmates went missing '' '',1
60, useless attempts right thing never follows,1
61, walkaway liberals ... ... party POISON,0
62, grateful trump  dog white house cruel man,1
63, lying stick facts pay,0
64, trump kicks dem butt - fun,1
65, dumb dumber one president 's two one,1
66, toxictory minister attempted expense  charity donation ! 's ! ! toriesmustgo dissolvetheunion,0
67, ur straight forword man saw u dance dewwane ur talk free ky ap kitnay porrany ho industry mein really like ur quality u even gather ur senior artist love manmarziyaan ,0
68, clown prison ?,1
69, twitter silence alex jones retaliation asking twitter jack questions,0
70, thats old man,1
71, obstructionists anti-american pharisees ask running get nothing maga !,1
72, 're not..you 're  represent alinskyite orwellian leftist tool amp fool view things..like % marxists amp antifa similar u..psst ! BU use words fascist fascism go ahead amp read d'souza 's book big lie '' ..right U know SQUAT either.. '',0
73, I remember somehow centrist '' antifa-haters never quite seem bring condemn things '',0
74, I mean worked gun control right ?,1
75, I think last thing WH trump 's mind april ryan needs stop flattering 's important thinks,0
76, principled conservatives hypocrickets,0
77, n't forget amp democrat backed antifa,0
78, beautiful person teach values kids teaching royalty keep keep going heads stay real ,0
79, bring antifa criminal son campaign,0
80, I  watch watch watching september th stories came together stood shoulder shoulder made proud even issues yet people playing damn game stand momentprotest saturday,0
81, A tear made  % water  % feelings,0
82, trump addresses gun control representing NRA I let '' says,0
83, drinking much koolaid  bloated,1
84, holder needs prosecuted,0
85, ... ... BOTH PLAYERS WERE WOMEN BOTH WERE WOMEN OF COLOR !,0
86, institution let tweet behaves window licker ! ! ! !,1
87, *babysitting  kids* people  old think ?   three kids  *dont get mad  get mad  know  know*,0
88, well ... ?,0
89, WTC threat ! ! ! .. maga qanon wakeupamerica,1
90, 's easily digestible content 's need nuance even understand story show picture ANTIFA '' get base level emotional response content requires order profitable '',0
91, try looking plain old democrats liberals ones  conversation,0
92, great news ! old moonbeam went coma ! ,0
93, OMG HE IS SO EXTRA ILY,0
94, please call trump ... NARCISSISTIC SOCIOPATH !,1
95, unfortunately america system like would called racist liberals believe exams racist minority groups,0
96, I know ! still alive ... .but wondering career railroaded ? odd ! loved ... especially day !,0
97, guy always present ... bet ? lol,0
98, baby !,0
99, persuasive fam,0
100, THAT 'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY ... ..WE WILL VOTE NO TO LIBERALS IN NOVEMBER ...,0
101, burt A cool dude,0
102, MAGA ! IF YOU ARE ALL IN FOR TRUMP FOLLOW ME AND I WILL FOLLOW BACK,0
103, thank u ! !  finally point  okay using heat  happy,0
104, kind like trump time huh ?,0
105, former antifa white house arrest citizen arrest someone explain,0
106, fuck em,1
107, good move ... .he big loser,1
108, let 's get bottom ! DM zipcode I 'll check back make sure enjoying BEST TV offer ASAP ! *nevinbruce,0
109, record I know doug jones personally sen. bc credible choice  next election,0
110, president  feelings totally opposite CNN  feelings say CNN ?  liberals,0
111, 's literally narrative par nazis punch antifa punch two sides coin '' noooooooo one groups wants exterminate deport poc jews wants prevent comparison benefits fash '',1
112, many dumb arguments gun control may dumbest common,1
113, idk 's going,0
114, yall need chill really abysmal nd half rizzo abysmal st half baseball happens things still needs work yes power numbers dropped yes ... .. could bounce back anytime,0
115, dude old ! ! ! lmao PS go pack go ! ! !,0
116, 's trump supporters ca n't even wear hat without abused meet animals left attack antifa branch communist-socialist-nazis democrat party,0
117, laughs I  gotten enough ,0
118, well ?,0
119, first  even pizza panera,0
120, please n't kill antifa hand ...,1
121, see shanahan say spoon  % healthy game ? obviously excuses  BUT maybe   doom  sort thing seemed game maybe still pretty good,0
122, good girl,0
123, ugly black hearted troll,1
124, clearly pokemon master ! I almost  rare candy alone  legacy moveset pokemon depends like keep collection pieces value game,0
125, dont believe hype,1
126, followed new - MAGA please follow back,0
127, protests reported sunderland except football fan one flag says westbrom ? ! getting worse even I type ? ! MAGA MEGA MBGA MCGA conservatives patriots muslims farleft leftists doomed lose realises civilwar soon ?,0
128, liberals would still vote 'll claim comments taken context still man integrity '' '',0
129, saved ! MAGA !,1
130, bringing honor decency ? yoyo picture ? 's rich,0
131, good riddance,0
132, goddess,0
133, omg xd worst best case best cuase made laught part asking dead ? hurts ? poor thing ... '' rest standin like `` ... .nope suffering '' `` dead ! '' `` ... yeah pretty dead '' '',0
134, probably imagine SJW snowflakes n't feel safe '' working might conservatives lurking shadows conservatives ruskies st century '',1
135, I see may light even last election conservatives A split coming tory partyvery soon !,0
136, I get  damn haters deleting IG reason ...,1
137, think canadian liberals actually blame trudeau costs ? per standard push us ?,0
138, warned everyone josh gordon last  months daily basis I 'm sure shocked I transpired today,0
139, ca n't liberals read ? ? ? ? ? ? READ AGAIN,0
140, SJSHSJ THATS MY JOB BITCH,1
141, discuss haiti ?,0
142, part NO COLLUSION n't get ? ? ? dumocrat,1
143, skilled,0
144, amazing ,0
145, fist pump troops,0
146, reason farakans illegal values black muslim would reason detest I believe illegal values simply result bad character like supporters ! '',1
147, let leftist democrats riot streets antifa counterparts,1
148, I thought canada strict gun control help understand happening,0
149,  want following people  like conservatives ! sickening biased twitter  management twitterleftbias,0
150, life tho,0
151, 's SO VERY IMPORTANT midterms get word democrats want people color believe support - know SO false word spread even need know ? MAGA NAACP,0
152, ANTIFA giving death threats professor ford threatening violence candidate loses spanky impeached,1
153, seen listened ANTIFA pals ?,0
154, case antifa take little bat something good you- kind thing,0
155, titles scare little bit -,0
156, gt eradicating HIV malaria middle africa good bloody luck,0
157, interaction tory volunteers FCP volunteers I witnessed today one demanding float moved back parade ableg cdnpoli,0
158, seems getting things done,0
159, I added video playlist combat mon frere vs ismael et maga assassin vs david le boxer YFC ,0
160, law changed ... make allegation days guilty proven innocent liberals mentally ill !,1
161, straight different thank joe biden one I also wonder outcome name antifa hill,0
162, game sucks donkey balls,1
163, yo real gorgeous,0
164, absolutely nail coffin ... hilliary,1
165, I hope gets twitter I tell amazing ,0
166,   gun control tried proven failure people  vote democrat refuse admit reality gun control  work,0
167, overwhelming liberals populated states make policy rest america clue california biggest population mean U.S. shares values get clue hillary,0
168, n't partly fund antifa ?,0
169, DUMBASS ! ! ! ! !,1
170, ... levistrauss wanting gun control many us wonder heck want freedoms taken away ~ selective freedoms ?,1
171, point time ... I n't think pres trump gives sh*t ... neither I ! LOL,1
172, O.K conservatives get polls vote red,0
173, donnie jr. family owe country apology taking criminal activities OUR white house lining pockets father unfit making mockery republic shame family justice prevail,1
174, A harvard/harris poll conducted year found  percent black americans said would like see one legal immigrants brought U.S. year '' MAGA tcot '',0
175, doubt officially become national socialist american workers party gone ppl like acting der sturmer antifa einsatzgruppen/waffen SS detachment,0
176, oh carmen SO FRICKING CUTE,1
177, chelsea crazy mother,1
